filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
IMG_1507.JPG,8747831,"{}",49,0,"{""name"":""rect"",""x"":3692,""y"":171,""width"":109,""height"":195}","{""class"":""8^2""}"
IMG_1507.JPG,8747831,"{}",49,1,"{""name"":""rect"",""x"":1767,""y"":940,""width"":198,""height"":225}","{""class"":""9-I""}"
IMG_1507.JPG,8747831,"{}",49,2,"{""name"":""rect"",""x"":2690,""y"":1141,""width"":151,""height"":192}","{""class"":""9-I""}"
IMG_1507.JPG,8747831,"{}",49,3,"{""name"":""rect"",""x"":3514,""y"":1357,""width"":192,""height"":201}","{""class"":""9-I""}"
IMG_1507.JPG,8747831,"{}",49,4,"{""name"":""rect"",""x"":1587,""y"":1762,""width"":80,""height"":192}","{""class"":""4^II""}"
IMG_1507.JPG,8747831,"{}",49,5,"{""name"":""rect"",""x"":1874,""y"":1974,""width"":89,""height"":174}","{""class"":""6-I""}"
IMG_1507.JPG,8747831,"{}",49,6,"{""name"":""rect"",""x"":2503,""y"":1960,""width"":89,""height"":195}","{""class"":""2^2""}"
IMG_1507.JPG,8747831,"{}",49,7,"{""name"":""rect"",""x"":665,""y"":2654,""width"":83,""height"":166}","{""class"":""7^0""}"
IMG_1507.JPG,8747831,"{}",49,8,"{""name"":""rect"",""x"":3479,""y"":2843,""width"":115,""height"":157}","{""class"":""8^II""}"
IMG_1507.JPG,8747831,"{}",49,9,"{""name"":""rect"",""x"":3219,""y"":3071,""width"":124,""height"":145}","{""class"":""5^II""}"
IMG_1507.JPG,8747831,"{}",49,10,"{""name"":""rect"",""x"":615,""y"":3517,""width"":86,""height"":174}","{""class"":""6-I""}"
IMG_1507.JPG,8747831,"{}",49,11,"{""name"":""rect"",""x"":1392,""y"":3928,""width"":68,""height"":216}","{""class"":""8^II""}"
IMG_1507.JPG,8747831,"{}",49,12,"{""name"":""rect"",""x"":2563,""y"":3928,""width"":83,""height"":174}","{""class"":""7^II""}"
IMG_1507.JPG,8747831,"{}",49,13,"{""name"":""rect"",""x"":3505,""y"":3940,""width"":92,""height"":145}","{""class"":""7^II""}"
IMG_1507.JPG,8747831,"{}",49,14,"{""name"":""rect"",""x"":4011,""y"":4371,""width"":77,""height"":171}","{""class"":""6-I""}"
IMG_1507.JPG,8747831,"{}",49,15,"{""name"":""rect"",""x"":2548,""y"":4374,""width"":109,""height"":157}","{""class"":""6-I""}"
IMG_1507.JPG,8747831,"{}",49,16,"{""name"":""rect"",""x"":3304,""y"":4776,""width"":65,""height"":183}","{""class"":""4^II""}"
IMG_1507.JPG,8747831,"{}",49,17,"{""name"":""rect"",""x"":1137,""y"":499,""width"":61,""height"":98}","{""class"":""2b""}"
IMG_1507.JPG,8747831,"{}",49,18,"{""name"":""rect"",""x"":1433,""y"":489,""width"":64,""height"":110}","{""class"":""2b""}"
